Isislef [['15.1', '0.0'], ['7.70', '0.00']]
GenericAnimeThug [['117.1', '3.3'], ['6.67', '0.00']]
Glouthe [['38.3', '28.7'], ['7.78', '8.00']]
Kostell [['12.0', '0.0'], ['6.54', '0.00']]
Arctic_Forest [['55.4', '0.0'], ['8.02', '0.00']]
Snoowyy [['0.5', '0.0'], ['9.00', '0.00']]
NeroMiFishy [['31.5', '29.8'], ['7.18', '7.35']]
Ferjoestar [['94.9', '19.2'], ['8.16', '8.63']]
paulooh [['44.8', '3.8'], ['8.01', '8.06']]
nothatsunemiku [['44.0', '10.9'], ['7.72', '8.33']]
cedarsux123 [['0.3', '0.1'], ['8.33', '7.67']]
Mzak24 [['109.3', '0.0'], ['7.68', '0.00']]
Cicada_67 [['145.7', '27.2'], ['8.04', '8.22']]
Smeagol [['337.3', '15.1'], ['7.85', '7.89']]
rewhyive [['0.0', '0.0'], ['10.00', '0.00']]
Dakominee [['41.1', '0.0'], ['7.09', '0.00']]
dinoart [['2.2', '0.0'], ['10.00', '0.00']]
yeetkingxd3 [['46.8', '0.0'], ['6.45', '0.00']]
Mrs_M [['5.5', '0.7'], ['8.70', '7.00']]
IONASO23 [['43.0', '3.5'], ['8.03', '9.67']]
Knicks1997 [['6.6', '0.0'], ['8.48', '0.00']]
BBunniee [['0.0', '0.0'], ['8.50', '0.00']]
mist_nugget [['33.7', '0.0'], ['8.39', '0.00']]
MohitS1107 [['16.7', '2.1'], ['7.91', '9.00']]
Dzin_Dza [['12.3', '0.0'], ['0.00', '0.00']]
Hasan99Ar [['83.8', '5.4'], ['6.53', '9.00']]
Scipione1 [['16.0', '10.2'], ['6.77', '6.97']]
Shamsy [['79.9', '14.9'], ['8.53', '8.82']]
Alitaha1 [['31.9', '1.0'], ['7.44', '10.00']]
MinhDragon2000 [['29.8', '21.3'], ['7.95', '8.21']]
iirlmikan [['26.4', '0.0'], ['7.15', '0.00']]
nithsuga [['79.0', '7.2'], ['8.02', '8.60']]
AppleShadow [['189.0', '0.0'], ['7.88', '0.00']]
M1k1k1 [['5.1', '0.0'], ['8.50', '0.00']]
Ricar111YT [['10.3', '0.5'], ['7.80', '10.00']]
Joanasabino [['85.8', '6.7'], ['6.73', '7.27']]
liizu [['19.5', '1.4'], ['8.63', '9.60']]
VexS_25 [['47.5', '17.7'], ['7.47', '8.80']]
Yajur [['25.7', '6.2'], ['7.57', '7.25']]
therainjaybb [['15.5', '11.9'], ['6.91', '7.77']]
Liinukka4 [['12.5', '0.0'], ['0.00', '0.00']]
Tamaki7 [['7.5', '0.4'], ['8.53', '0.00']]
2bo4_ [['10.3', '0.0'], ['9.37', '0.00']]
Jamillian [['44.6', '0.0'], ['7.38', '0.00']]
oikatori [['19.4', '8.2'], ['7.16', '7.27']]
GT2398 [['15.5', '5.0'], ['8.65', '8.67']]
IAmWeeb10726 [['57.6', '12.0'], ['6.70', '7.22']]
Pel4qas [['97.8', '13.6'], ['7.36', '7.70']]
Blazeswingerhd [['110.0', '2.1'], ['7.26', '9.00']]
Fall3nHer0 [['53.7', '0.2'], ['8.10', '0.00']]
Catof [['0.0', '0.0'], ['0.00', '0.00']]
sirine16baka [['1.5', '0.0'], ['10.00', '0.00']]
5kerty [['50.2', '1.0'], ['0.00', '0.00']]
RockCesar5 [['84.3', '0.0'], ['8.16', '0.00']]
Brianna314 [['60.5', '3.8'], ['0.00', '0.00']]
jjbest [['49.7', '0.2'], ['8.00', '8.00']]
Xpiglet [['50.9', '4.8'], ['8.48', '0.00']]
Rogie4484 [['68.1', '0.0'], ['8.04', '8.00']]
Kanezushi [['11.8', '0.0'], ['0.00', '0.00']]
arjaymdrd [['17.7', '0.0'], ['0.00', '0.00']]
heyheyheykristie [['63.2', '30.4'], ['7.55', '6.92']]
suphhyev [['27.7', '2.0'], ['8.52', '7.00']]
FireSword_ [['108.0', '42.6'], ['8.68', '8.67']]
Crims0nn [['88.2', '46.1'], ['7.63', '8.51']]
