Mystery,32,0.13973799126637554
Police,4,0.017467248908296942
Psychological,29,0.12663755458515283
Supernatural,75,0.32751091703056767
Thriller,16,0.06986899563318777
Shounen,104,0.45414847161572053
Action,129,0.5633187772925764
Drama,77,0.33624454148471616
Fantasy,75,0.32751091703056767
Military,12,0.05240174672489083
Super Power,40,0.17467248908296942
Adventure,78,0.3406113537117904
Comedy,108,0.47161572052401746
Magic,26,0.11353711790393013
Game,14,0.0611353711790393
Romance,44,0.19213973799126638
Parody,10,0.043668122270742356
Sci-Fi,33,0.14410480349344978
School,61,0.2663755458515284
Horror,11,0.048034934497816595
Seinen,14,0.0611353711790393
Martial Arts,15,0.06550218340611354
Ecchi,15,0.06550218340611354
Mecha,6,0.026200873362445413
Music,7,0.03056768558951965
Slice of Life,27,0.11790393013100436
Demons,7,0.03056768558951965
Historical,7,0.03056768558951965
Sports,13,0.056768558951965066
Dementia,2,0.008733624454148471
Vampire,6,0.026200873362445413
Samurai,2,0.008733624454148471
Shoujo,5,0.021834061135371178
Kids,6,0.026200873362445413
Harem,1,0.004366812227074236
