Mystery,149,0.14410058027079303
Police,16,0.015473887814313346
Psychological,95,0.09187620889748549
Supernatural,362,0.35009671179883944
Thriller,48,0.04642166344294004
Shounen,265,0.2562862669245648
Action,523,0.5058027079303675
Drama,304,0.2940038684719536
Fantasy,290,0.2804642166344294
Military,48,0.04642166344294004
Super Power,106,0.10251450676982592
Adventure,210,0.20309477756286268
Comedy,491,0.4748549323017408
Magic,108,0.10444874274661509
Game,38,0.0367504835589942
Romance,331,0.32011605415860733
Parody,32,0.030947775628626693
Sci-Fi,172,0.16634429400386846
School,300,0.2901353965183752
Horror,83,0.08027079303675048
Seinen,117,0.11315280464216634
Martial Arts,31,0.029980657640232108
Ecchi,129,0.12475822050290135
Mecha,44,0.0425531914893617
Music,51,0.04932301740812379
Slice of Life,170,0.1644100580270793
Demons,58,0.05609284332688588
Historical,55,0.05319148936170213
Space,14,0.013539651837524178
Sports,53,0.05125725338491296
Dementia,13,0.012572533849129593
Vampire,35,0.033849129593810444
Harem,110,0.10638297872340426
Samurai,14,0.013539651837524178
Shoujo,49,0.047388781431334626
Kids,8,0.007736943907156673
Josei,15,0.014506769825918761
Shoujo Ai,6,0.005802707930367505
Shounen Ai,6,0.005802707930367505
Cars,3,0.0029013539651837525
Hentai,1,0.0009671179883945841
Yaoi,1,0.0009671179883945841
